"Station
Code",Monitoring Location,State,Temperature Min,Temperature Max,Dissolved Oxygen Min,Dissolved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max,Fecal Streptococci Min,Fecal Streptococci Max
30042,"RIVER SABARMATI AT KHEROJ BRIDGE, SABARKANTHA,
AMBAJI HIGHWAY, KHEROJ, GUJARAT (RAJASTHAN AND
GUJARAT)",GUJARAT,24,24,9.6,9.6,8,8,607,607,2.5,2.5,0.32,0.32,110,110,330,330,,
1482,"RIVER SABARMATI AT MAHUDI JAIN TEMPLE, 150 KM.
FORM ORIGIN,",GUJARAT,27,32,4.1,7.2,7.5,8.4,346,590,1,2,0.46,1.21,2,12,13,70,,
1407,"RIVER SABARMATI AT GANDHI NAGAR CHILODA
BRIDGE, LEKAWADA,",GUJARAT,27,32,5.1,7,7.4,8.5,363,560,1,1.8,0.39,1.66,2,4,21,33,,
1222,"RIVER SHEDHI AT KHEDA,",GUJARAT,28,35,4.5,7.2,7.7,8.5,460,2616,1,2.7,1.12,7.94,50,1600,300,1600,2,540
1437,"RIVER KHARI AT LALI VILLAGE NEAR AHMEDABAD,",GUJARAT,28,30,0.3,1.5,7.2,7.5,1112,2558,11,68,0.33,1.05,1600,1600,1600,1600,1600,1600
3321,"RIVER NARMADA AT AMARKANTAK FROM ORIGIN POINT,","MADHYA
PRADESH",23.5,30.2,6.6,8.7,7.1,8.3,186,705,1,1.8,0.32,0.58,2,2,27,94,2,2
1242,"RIVER NARMADA NEAR ORIGIN POINT AT AMARKANTAK
M.P.","MADHYA
PRADESH",22.6,30.2,6.5,6.8,6.6,7.9,165,1864,1,1.9,0.32,0.34,2,2,2,20,2,2
4578,RIVER NARMADA AT PUSKAR DAM AMARKANTAK,"MADHYA
PRADESH",22.8,30.2,6.6,8.1,6.9,8,173,2756,1.6,2.3,0.32,0.48,2,2,41,110,2,2
1241,RIVER NARMADA AT MANDLA NEAR ROAD BRIDGE. M.P.,"MADHYA
PRADESH",21.2,24.6,7,7.8,7.3,7.9,250,611,1.2,2,0.16,1.44,2,6,17,48,,
1240,"RIVER NARMADA AT BARMANGHAT, NARSINGHPUR M.P.","MADHYA
PRADESH",20.9,24.6,7,8.3,7.2,7.9,233,711,1.1,2,0.14,1.4,2,3,10,43,,
2106,RIVER NARMADA AT NEMAWAR,"MADHYA
PRADESH",22,27,6.6,7.6,7.6,7.8,198,394,1.2,2,0.32,0.65,2,2,43,48,2,2
4595,"RIVER NARMADA 500 M.D/S NEAR JAIN MANDER
VILLAGE NEMAWAR","MADHYA
PRADESH",22,28,6.5,7.7,7.2,7.8,212,430,2,2,0.54,0.73,2,2,47,49,2,2
45,RIVER NARMADA AT MANDLESHWAR,"MADHYA
PRADESH",19.5,21.5,7.2,8,7.7,8.5,212,332,1,1.1,0.83,790.02,2,2,34,49,2,2
1239,"RIVER NARMADA AT BADWANI, M.P.","MADHYA
PRADESH",19,22,7.2,7.8,7.8,8.5,246,346,1,1.2,0.82,1.2,2,2,38,48,,
1431,"RIVER NARMADA AT MAHESHWAR, M. P.","MADHYA
PRADESH",19.5,21.5,7,7.9,7.3,8.5,211,318,1,1.2,0.02,1.12,2,2,39,49,2,2
1234,"RIVER NARMADA NEAR SHAHGANJ GUEST HOUSE
DISTRICT SEHORE (M.P.)","MADHYA
PRADESH",14,26,5.8,11,7.3,8.5,188,362,1,2.4,1.4,5.97,2,34,130,280,2,2
